V1	V(n002)	I(D1)
Step Information: Temp=-25  (Step: 1/3)
1.080000000000000e+01	6.300002e-01	2.092593e-02
1.090000000000000e+01	6.305037e-01	2.113065e-02
1.100000000000000e+01	6.310024e-01	2.133539e-02
1.110000000000000e+01	6.314964e-01	2.154013e-02
1.120000000000000e+01	6.319857e-01	2.174489e-02
1.130000000000000e+01	6.324704e-01	2.194965e-02
1.140000000000000e+01	6.329507e-01	2.215442e-02
1.150000000000000e+01	6.334265e-01	2.235921e-02
1.160000000000000e+01	6.338981e-01	2.256400e-02
1.170000000000000e+01	6.343654e-01	2.276880e-02
1.180000000000000e+01	6.348286e-01	2.297360e-02
1.190000000000000e+01	6.352876e-01	2.317842e-02
1.200000000000000e+01	6.357426e-01	2.338324e-02
1.210000000000000e+01	6.361937e-01	2.358808e-02
1.220000000000000e+01	6.366409e-01	2.379292e-02
1.230000000000000e+01	6.370842e-01	2.399777e-02
1.240000000000000e+01	6.375239e-01	2.420263e-02
1.250000000000000e+01	6.379598e-01	2.440749e-02
1.260000000000000e+01	6.383922e-01	2.461236e-02
1.270000000000000e+01	6.388209e-01	2.481724e-02
1.280000000000000e+01	6.392461e-01	2.502213e-02
1.290000000000000e+01	6.396679e-01	2.522702e-02
1.300000000000000e+01	6.400862e-01	2.543192e-02
1.310000000000000e+01	6.405013e-01	2.563683e-02
1.320000000000000e+01	6.409130e-01	2.584174e-02
1.330000000000000e+01	6.413215e-01	2.604666e-02
1.340000000000000e+01	6.417269e-01	2.625159e-02
1.350000000000000e+01	6.421291e-01	2.645653e-02
1.360000000000000e+01	6.425281e-01	2.666146e-02
1.370000000000000e+01	6.429242e-01	2.686641e-02
1.380000000000000e+01	6.433172e-01	2.707136e-02
1.390000000000000e+01	6.437073e-01	2.727632e-02
1.400000000000000e+01	6.440945e-01	2.748129e-02
1.410000000000000e+01	6.444788e-01	2.768626e-02
1.420000000000000e+01	6.448603e-01	2.789123e-02
1.430000000000000e+01	6.452390e-01	2.809622e-02
1.440000000000000e+01	6.456150e-01	2.830120e-02
1.450000000000000e+01	6.459882e-01	2.850620e-02
1.460000000000000e+01	6.463588e-01	2.871120e-02
1.470000000000000e+01	6.467268e-01	2.891620e-02
1.480000000000000e+01	6.470922e-01	2.912121e-02
1.490000000000000e+01	6.474550e-01	2.932622e-02
1.500000000000000e+01	6.478153e-01	2.953124e-02
1.510000000000000e+01	6.481732e-01	2.973627e-02
1.520000000000000e+01	6.485285e-01	2.994130e-02
1.530000000000000e+01	6.488815e-01	3.014633e-02
1.540000000000000e+01	6.492321e-01	3.035137e-02
1.550000000000000e+01	6.495803e-01	3.055642e-02
1.560000000000000e+01	6.499262e-01	3.076147e-02
1.570000000000000e+01	6.502698e-01	3.096652e-02
1.580000000000000e+01	6.506112e-01	3.117158e-02
1.590000000000000e+01	6.509503e-01	3.137664e-02
1.600000000000000e+01	6.512872e-01	3.158171e-02
1.610000000000000e+01	6.516219e-01	3.178678e-02
1.620000000000000e+01	6.519545e-01	3.199186e-02
1.630000000000000e+01	6.522850e-01	3.219694e-02
1.640000000000000e+01	6.526134e-01	3.240203e-02
1.650000000000000e+01	6.529397e-01	3.260712e-02
1.660000000000000e+01	6.532640e-01	3.281222e-02
1.670000000000000e+01	6.535863e-01	3.301731e-02
1.680000000000000e+01	6.539066e-01	3.322241e-02
1.690000000000000e+01	6.542249e-01	3.342752e-02
1.700000000000000e+01	6.545413e-01	3.363263e-02
1.710000000000000e+01	6.548557e-01	3.383775e-02
1.720000000000000e+01	6.551683e-01	3.404287e-02
1.730000000000000e+01	6.554790e-01	3.424799e-02
1.740000000000000e+01	6.557878e-01	3.445311e-02
1.750000000000000e+01	6.560948e-01	3.465824e-02
1.760000000000000e+01	6.564001e-01	3.486338e-02
1.770000000000000e+01	6.567035e-01	3.506851e-02
1.780000000000000e+01	6.570052e-01	3.527365e-02
1.790000000000000e+01	6.573051e-01	3.547880e-02
1.800000000000000e+01	6.576033e-01	3.568394e-02
1.810000000000000e+01	6.578997e-01	3.588910e-02
1.820000000000000e+01	6.581945e-01	3.609425e-02
1.830000000000000e+01	6.584877e-01	3.629941e-02
1.840000000000000e+01	6.587792e-01	3.650457e-02
1.850000000000000e+01	6.590691e-01	3.670973e-02
1.860000000000000e+01	6.593573e-01	3.691490e-02
1.870000000000000e+01	6.596439e-01	3.712007e-02
1.880000000000000e+01	6.599290e-01	3.732525e-02
1.890000000000000e+01	6.602126e-01	3.753043e-02
1.900000000000000e+01	6.604946e-01	3.773561e-02
1.910000000000000e+01	6.607750e-01	3.794079e-02
1.920000000000000e+01	6.610540e-01	3.814598e-02
1.930000000000000e+01	6.613314e-01	3.835117e-02
1.940000000000000e+01	6.616074e-01	3.855636e-02
1.950000000000000e+01	6.618819e-01	3.876156e-02
1.960000000000000e+01	6.621550e-01	3.896676e-02
1.970000000000000e+01	6.624266e-01	3.917196e-02
1.980000000000000e+01	6.626968e-01	3.937717e-02
1.990000000000000e+01	6.629657e-01	3.958238e-02
2.000000000000000e+01	6.632331e-01	3.978759e-02
2.010000000000000e+01	6.634992e-01	3.999280e-02
2.020000000000000e+01	6.637639e-01	4.019802e-02
2.030000000000000e+01	6.640273e-01	4.040324e-02
2.040000000000000e+01	6.642893e-01	4.060846e-02
2.050000000000000e+01	6.645500e-01	4.081368e-02
2.060000000000000e+01	6.648094e-01	4.101891e-02
2.070000000000000e+01	6.650676e-01	4.122414e-02
2.080000000000000e+01	6.653244e-01	4.142937e-02
2.090000000000000e+01	6.655800e-01	4.163461e-02
2.100000000000000e+01	6.658342e-01	4.183985e-02
2.110000000000000e+01	6.660873e-01	4.204509e-02
2.120000000000000e+01	6.663392e-01	4.225033e-02
2.130000000000000e+01	6.665899e-01	4.245558e-02
2.140000000000000e+01	6.668393e-01	4.266082e-02
2.150000000000000e+01	6.670875e-01	4.286607e-02
2.160000000000000e+01	6.673346e-01	4.307133e-02
2.170000000000000e+01	6.675804e-01	4.327658e-02
2.180000000000000e+01	6.678252e-01	4.348184e-02
2.190000000000000e+01	6.680687e-01	4.368710e-02
2.200000000000000e+01	6.683112e-01	4.389236e-02
2.210000000000000e+01	6.685525e-01	4.409763e-02
2.220000000000000e+01	6.687927e-01	4.430290e-02
2.230000000000000e+01	6.690317e-01	4.450817e-02
2.240000000000000e+01	6.692697e-01	4.471344e-02
2.250000000000000e+01	6.695066e-01	4.491871e-02
2.260000000000000e+01	6.697424e-01	4.512399e-02
2.270000000000000e+01	6.699772e-01	4.532927e-02
2.280000000000000e+01	6.702108e-01	4.553455e-02
2.290000000000000e+01	6.704435e-01	4.573983e-02
2.300000000000000e+01	6.706751e-01	4.594511e-02
2.310000000000000e+01	6.709056e-01	4.615040e-02
2.320000000000000e+01	6.711352e-01	4.635569e-02
2.330000000000000e+01	6.713638e-01	4.656098e-02
2.340000000000000e+01	6.715913e-01	4.676627e-02
2.350000000000000e+01	6.718178e-01	4.697157e-02
2.360000000000000e+01	6.720434e-01	4.717686e-02
2.370000000000000e+01	6.722680e-01	4.738216e-02
2.380000000000000e+01	6.724916e-01	4.758747e-02
2.390000000000000e+01	6.727142e-01	4.779277e-02
2.400000000000000e+01	6.729359e-01	4.799807e-02
2.410000000000000e+01	6.731567e-01	4.820338e-02
2.420000000000000e+01	6.733765e-01	4.840869e-02
2.430000000000000e+01	6.735954e-01	4.861400e-02
2.440000000000000e+01	6.738133e-01	4.881931e-02
2.450000000000000e+01	6.740304e-01	4.902463e-02
2.460000000000000e+01	6.742465e-01	4.922995e-02
2.470000000000000e+01	6.744618e-01	4.943527e-02
2.480000000000000e+01	6.746761e-01	4.964058e-02
2.490000000000000e+01	6.748896e-01	4.984591e-02
2.500000000000000e+01	6.751022e-01	5.005123e-02
Step Information: Temp=75  (Step: 3/3)
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-01	9.457465e-02	1.116329e-05
2.000000000000000e-01	1.753210e-01	5.078190e-05
3.000000000000000e-01	2.332929e-01	1.373659e-04
4.000000000000000e-01	2.720202e-01	2.634893e-04
5.000000000000000e-01	2.990082e-01	4.136055e-04
6.000000000000001e-01	3.190973e-01	5.779971e-04
7.000000000000001e-01	3.349953e-01	7.529451e-04
